Part Name,Manufacturer,Model,Quantity,Unit Price,Price,Link
Televsion,Majestic,MJLED222GS,1,$610.00,$610.00,https://majesticelectronics.us/led-tv/10-majestic-22-led-tv-12v-fhd-global-tuners-dvd-usb-mmmi-low-power-current.html
Case,Pelican,1605 Air,1,$269.95,$269.95,https://www.pelican.com/us/en/product/cases/air/1605/?utm_term=%2B1605%20%2Bpelican%20%2Bfoam&utm_source=google_dc&utm_medium=cpc&utm_campaign=Pelican_Air_Branded&gclid=CjwKCAjwq7aGBhADEiwA6uGZp7yYvjlr3Km4iROw8hBN-4LpREWWTvrd6CtCjqSsWGWRbHJ75n5R3xoCEyAQAvD_BwE
Packing,Pelican,1605 Trek Pak,1,$154.95,$154.95,https://www.amazon.com/TrekPak-Insert-Pelican-1605-Case/dp/B01N43TIK2/ref=sr_1_1?dchild=1&keywords=1605+trekpak&qid=1624138568&s=electronics&sr=1-1
Battery,Voltaic,v88,3,$129.00,$387.00,https://voltaicsystems.com/v88/
Solar Panel,AimTom,ASP-60,1,$169.00,$169.00,https://www.aimtom.com/product/asp60/
Microphone,Shure,SM57,1,$99.00,$99.00,
Speaker,Fourjay,306-8 Little Big Horn,1,$52.98,$52.98,
Mic Preamp,Rolls,MP13,1,$56.00,$56.00,
Power Amp,Pyle,PLMRA120,1,$37.98,$37.98,
,,,,,,
3.5mm Audio Jack,Switchcraft,EH35MMSSCB,1,$12.69,$12.69,
RCA Video Jack,Neutrik,NF2D-B-0,1,$4.34,$4.34,
Speaker Jack,Switchcraft,E11,1,$4.98,$4.98,
USB Jack,Neutrik,NAUSB-W,1,$5.37,$5.37,
Microphone Jack,Neutrik,NC3FD-L-1,1,$3.00,$3.00,
Power Switch,Switchcraft,EHRRSLB,1,$6.98,$6.98,
Audio Switch,Switchcraft,EHTSLB,1,$6.89,$6.89,
Yellow Gasket,Neutrik,SCDP-4,1,$2.46,$2.46,
Blue Gasket,Neutrik,SCDP-6,1,$2.46,$2.46,
Red Gasket,Neutrik,SCDP-2,1,$2.46,$2.46,
White Gasket,Neutrik,SCDP-9,4,$2.46,$9.84,
,,,,,,
Wire,Consolidated,Stranded 18AWG,2,$5.79,$11.58,
USB Cable,Generic,USB2.0 A to B 3.3ft,1,$1.42,$1.42,
Mic Cable 30 ft.,Talent,MCB30,1,$13.48,$13.48,
Heatshrink,NTE,Black 2:1 4”,1,$3.29,$3.29,
,,,,,,
Power Plug,PartsExpress,2.1 x 5.5 X 9.5mm DC,3,$0.96,$2.88,
¼” Mono Speaker Plug,Neutrik,NP2X-WT ¼ Mono,1,$4.15,$4.15,
¼” Mono Amp Plug,PartsExpress,¼” Mono Right Angle,1,$1.53,$1.53,
XLR Microphone Plug,Neutrik,NC3MRX Male 90 Deg,1,$7.34,$7.34,
3.5mm Audio Plug,Amphenol,KS3P 3.5mm Stero,1,$2.20,$2.20,
RCA Right Angle,PartsExpress,Gold RCA Right Angle,1,$4.39,$4.39,
,,,,,,
CircuitBoard,OSH Park,See Eagle Files,1,$5.00,$5.00,
Transformer,Xicon,XFMR STG 600CT-600CT,1,$2.97,$2.97,
Resistor ¼ W 470Ω 5%,Ohmite,OD471JE,2,$0.84,$1.68,
Resistor ¼ W 20KΩ 5%,Ohmite,OK2035E-R52,1,$0.10,$0.10,
