Part Name,Manufacturer,Model,Price,Quantity,Link
Televsion,Majestic,MJLED222GS,$610.00,1,https://majesticelectronics.us/led-tv/10-majestic-22-led-tv-12v-fhd-global-tuners-dvd-usb-mmmi-low-power-current.html
Case,Pelican,1605 Air,$269.95,1,https://www.pelican.com/us/en/product/cases/air/1605/?utm_term=%2B1605%20%2Bpelican%20%2Bfoam&utm_source=google_dc&utm_medium=cpc&utm_campaign=Pelican_Air_Branded&gclid=CjwKCAjwq7aGBhADEiwA6uGZp7yYvjlr3Km4iROw8hBN-4LpREWWTvrd6CtCjqSsWGWRbHJ75n5R3xoCEyAQAvD_BwE
Packing,Pelican,1605 Trek Pak,$154.95,1,https://www.amazon.com/TrekPak-Insert-Pelican-1605-Case/dp/B01N43TIK2/ref=sr_1_1?dchild=1&keywords=1605+trekpak&qid=1624138568&s=electronics&sr=1-1
Battery,Voltaic,v88,$129.00,3,https://voltaicsystems.com/v88/
Solar Panel,AimTom,ASP-60,$169.00,1,https://www.aimtom.com/product/asp60/
Microphone,Shure,SM57,$99.00,1,
Speaker,Fourjay,306-8 Little Big Horn,$52.98,1,
Mic Preamp,Rolls,MP13,$56.00,1,
Power Amp,Pyle,PLMRA120,$37.98,1,
,,,,,
3.5mm Audio Jack,Switchcraft,EH35MMSSCB,$12.69,1,
RCA Video Jack,Neutrik,NF2D-B-0,$4.34,1,
Speaker Jack,Switchcraft,E11,$4.98,1,
USB Jack,Neutrik,NAUSB-W,$5.37,1,
Microphone Jack,Neutrik,NC3FD-L-1,$3.00,1,
Power Switch,Switchcraft,EHRRSLB,$6.98,1,
Audio Switch,Switchcraft,EHTSLB,$6.89,1,
Yellow Gasket,Neutrik,SCDP-4,$2.46,1,
Blue Gasket,Neutrik,SCDP-6,$2.46,1,
Red Gasket,Neutrik,SCDP-2,$2.46,1,
White Gasket,Neutrik,SCDP-9,$2.46,4,
,,,,,
Wire,Consolidated,Stranded 18AWG,$5.79,2,
USB Cable,Generic,USB2.0 A to B 3.3ft,$1.42,1,
Mic Cable 30 ft.,Talent,MCB30,$13.48,1,
Heatshrink,NTE,Black 2:1 4”,$3.29,1,
,,,,,
Power Plug,PartsExpress,2.1 x 5.5 X 9.5mm DC,$0.96,3,
¼” Mono Speaker Plug,Neutrik,NP2X-WT ¼ Mono,$4.15,1,
¼” Mono Amp Plug,PartsExpress,¼” Mono Right Angle,$1.53,1,
XLR Microphone Plug,Neutrik,NC3MRX Male 90 Deg,$7.34,1,
3.5mm Audio Plug,Amphenol,KS3P 3.5mm Stero,$2.20,1,
RCA Right Angle,PartsExpress,Gold RCA Right Angle,$4.39,1,
,,,,,
CircuitBoard,OSH Park,See Eagle Files,$5.00,1,
Transformer,Xicon,XFMR STG 600CT-600CT,$2.97,1,
Resistor ¼ W 470Ω 5%,Ohmite,OD471JE,$0.84,2,
Resistor ¼ W 20KΩ 5%,Ohmite,OK2035E-R52,$0.10,1,
